Transaction ID,Staff,Date,Item,Amount
59,Cersai,2020/06/04,Coffee,4.37
60,Cersai,2020/06/04,Tea,3.29
61,Cersai,2020/06/04,Tea,3.29
62,Cersai,2020/06/04,Cake,8.73
63,Cersai,2020/06/04,Pastry,7.49
64,Cersai,2020/06/04,Pastry,7.49
65,Anakin,2020/06/05,Coffee,4.37
66,Karen,2020/06/06,Coffee,4.37
67,Karen,2020/06/06,Coffee,4.37
68,Karen,2020/06/06,Pastry,7.49
69,Karen,2020/06/06,Pastry,7.49
70,Karen,2020/06/06,Jam,12.89
71,Karen,2020/06/06,Pastry,7.49
72,Karen,2020/06/06,Pastry,7.49
73,Karen,2020/06/06,Cake,8.73
74,Karen,2020/06/06,Coffee,4.37
75,Karen,2020/06/06,Coffee,4.37
76,Karen,2020/06/06,Coffee,4.37
77,Karen,2020/06/06,Cake,8.73
78,Karen,2020/06/06,Coffee,4.37
79,Karen,2020/06/06,Jam,12.89
80,Karen,2020/06/06,Bread,5.92
81,Karen,2020/06/06,Pastry,7.49
82,Karen,2020/06/06,Coffee,4.37
83,Karen,2020/06/06,Cake,8.73
84,Karen,2020/06/06,Cake,8.73
85,Karen,2020/06/06,Jam,12.89
86,Karen,2020/06/06,Cake,8.73
87,Karen,2020/06/06,Tea,3.29
88,Karen,2020/06/06,Jam,12.89
89,Karen,2020/06/06,Coffee,4.37
90,Karen,2020/06/06,Coffee,4.37
91,Karen,2020/06/06,Jam,12.89
92,Karen,2020/06/06,Cake,8.73
93,Khan,2020/06/07,Pastry,7.49
94,Khan,2020/06/07,Jam,12.89
95,Khan,2020/06/07,Jam,12.89
96,Khan,2020/06/07,Pastry,7.49
97,Khan,2020/06/07,Pastry,7.49
98,Khan,2020/06/07,Jam,12.89
99,Khan,2020/06/07,Tea,3.29
100,Khan,2020/06/07,Pastry,7.49
101,Khan,2020/06/07,Bread,5.92
102,Khan,2020/06/07,Tea,3.29
103,Khan,2020/06/07,Coffee,4.37
104,Khan,2020/06/07,Jam,12.89
105,Khan,2020/06/07,Pastry,7.49
106,Khan,2020/06/07,Jam,12.89
107,Khan,2020/06/07,Pastry,7.49
108,Khan,2020/06/07,Pastry,7.49
109,Khan,2020/06/07,Bread,5.92
110,Khan,2020/06/07,Cake,8.73
111,Khan,2020/06/07,Bread,5.92
112,Khan,2020/06/07,Pastry,7.49
113,Khan,2020/06/07,Bread,5.92
114,Khan,2020/06/07,Coffee,4.37
115,Khan,2020/06/07,Bread,5.92
116,Khan,2020/06/07,Pastry,7.49
117,Khan,2020/06/07,Tea,3.29
118,The Hood,2020/06/08,Coffee,4.37
119,The Hood,2020/06/08,Coffee,4.37
120,The Hood,2020/06/08,Pastry,7.49
121,The Hood,2020/06/08,Bread,5.92
122,The Hood,2020/06/08,Tea,3.29
123,The Hood,2020/06/08,Jam,12.89
124,The Hood,2020/06/08,Jam,12.89
125,The Hood,2020/06/08,Cake,8.73
126,The Hood,2020/06/08,Bread,5.92
127,The Hood,2020/06/08,Cake,8.73
128,The Hood,2020/06/08,Jam,12.89
129,The Hood,2020/06/08,Pastry,7.49
130,The Hood,2020/06/08,Bread,5.92
131,The Hood,2020/06/08,Pastry,7.49
132,The Hood,2020/06/08,Cake,8.73
133,The Hood,2020/06/08,Jam,12.89
134,The Hood,2020/06/08,Tea,3.29
135,The Hood,2020/06/08,Coffee,4.37
136,The Hood,2020/06/08,Pastry,7.49
137,The Hood,2020/06/08,Coffee,4.37
138,The Hood,2020/06/08,Cake,8.73
139,The Hood,2020/06/08,Tea,3.29
140,The Hood,2020/06/08,Cake,8.73
141,The Hood,2020/06/08,Pastry,7.49
142,The Hood,2020/06/08,Tea,3.29
143,The Hood,2020/06/08,Bread,5.92
144,The Hood,2020/06/08,Tea,3.29
145,The Hood,2020/06/08,Bread,5.92
146,The Hood,2020/06/08,Tea,3.29
147,The Hood,2020/06/08,Bread,5.92
148,The Hood,2020/06/08,Jam,12.89
149,The Hood,2020/06/08,Tea,3.29
150,The Hood,2020/06/08,Bread,5.92
151,The Hood,2020/06/08,Pastry,7.49
152,The Hood,2020/06/08,Coffee,4.37
153,The Hood,2020/06/08,Jam,12.89
154,The Hood,2020/06/08,Jam,12.89
155,The Hood,2020/06/08,Cake,8.73
156,The Hood,2020/06/08,Cake,8.73
157,The Hood,2020/06/08,Bread,5.92
158,The Hood,2020/06/08,Pastry,7.49
159,The Hood,2020/06/08,Pastry,7.49
160,The Hood,2020/06/08,Cake,8.73
161,The Hood,2020/06/08,Cake,8.73
162,The Hood,2020/06/08,Pastry,7.49
163,Dr Claw,2020/06/09,Jam,12.89
164,Dr Claw,2020/06/09,Jam,12.89
165,Dr Claw,2020/06/09,Cake,8.73
166,Dr Claw,2020/06/09,Coffee,4.37
167,Dr Claw,2020/06/09,Jam,12.89
168,Dr Claw,2020/06/09,Tea,3.29
169,Dr Claw,2020/06/09,Jam,12.89
170,Dr Claw,2020/06/09,Coffee,4.37
171,Dr Claw,2020/06/09,Jam,12.89
172,Dr Claw,2020/06/09,Bread,5.92
173,Dr Claw,2020/06/09,Tea,3.29
174,Dr Claw,2020/06/09,Jam,12.89
175,Dr Claw,2020/06/09,Tea,3.29
176,Dr Claw,2020/06/09,Tea,3.29
177,Dr Claw,2020/06/09,Jam,12.89
178,Dr Claw,2020/06/09,Jam,12.89
179,Dr Claw,2020/06/09,Cake,8.73
180,Dr Claw,2020/06/09,Cake,8.73
181,Dr Claw,2020/06/09,Jam,12.89
182,Dr Claw,2020/06/09,Tea,3.29
183,Dr Claw,2020/06/09,Tea,3.29
184,Dr Claw,2020/06/09,Pastry,7.49
185,Dr Claw,2020/06/09,Bread,5.92
186,Dr Claw,2020/06/09,Bread,5.92
187,Dr Claw,2020/06/09,Tea,3.29
188,Dr Claw,2020/06/09,Pastry,7.49
189,Dr Claw,2020/06/09,Bread,5.92
190,Dr Claw,2020/06/09,Cake,8.73
191,Dr Claw,2020/06/09,Cake,8.73
192,Dr Claw,2020/06/09,Cake,8.73
193,Dr Claw,2020/06/09,Jam,12.89
194,Dr Claw,2020/06/09,Pastry,7.49
195,Dr Claw,2020/06/09,Cake,8.73
196,Dr Claw,2020/06/09,Bread,5.92
197,Dr Claw,2020/06/09,Pastry,7.49
198,Dr Claw,2020/06/09,Coffee,4.37
199,Dr Claw,2020/06/09,Jam,12.89
200,Dr Claw,2020/06/09,Tea,3.29
201,Dr Claw,2020/06/09,Tea,3.29
202,Dr Claw,2020/06/09,Cake,8.73
203,Dr Claw,2020/06/09,Bread,5.92
204,Dr Claw,2020/06/09,Jam,12.89
205,Dr Claw,2020/06/09,Pastry,7.49
206,Dr Claw,2020/06/09,Pastry,7.49
207,Dr Claw,2020/06/09,Coffee,4.37
208,Dr Claw,2020/06/09,Cake,8.73
209,Dr Claw,2020/06/09,Cake,8.73
210,Dr Claw,2020/06/09,Pastry,7.49
211,Dr Claw,2020/06/09,Cake,8.73
212,Dr Claw,2020/06/09,Coffee,4.37
213,Dr Claw,2020/06/09,Coffee,4.37
214,Dr Claw,2020/06/09,Coffee,4.37
215,Dr Claw,2020/06/09,Bread,5.92
216,Ariana,2020/06/10,Bread,5.92
217,Ariana,2020/06/10,Bread,5.92
218,Ariana,2020/06/10,Bread,5.92
219,Ariana,2020/06/10,Pastry,7.49
220,Ariana,2020/06/10,Tea,3.29
221,Ariana,2020/06/10,Bread,5.92
222,Ariana,2020/06/10,Tea,3.29
223,Ariana,2020/06/10,Tea,3.29
224,Ariana,2020/06/10,Bread,5.92
225,Ariana,2020/06/10,Jam,12.89
226,Ariana,2020/06/10,Jam,12.89
227,Ariana,2020/06/10,Bread,5.92
228,Ariana,2020/06/10,Coffee,4.37
229,Ariana,2020/06/10,Coffee,4.37
230,Ariana,2020/06/10,Cake,8.73
231,Ariana,2020/06/10,Tea,3.29
232,Ariana,2020/06/10,Jam,12.89
233,Ariana,2020/06/10,Cake,8.73
234,Ariana,2020/06/10,Jam,12.89
235,Ariana,2020/06/10,Tea,3.29
236,Ariana,2020/06/10,Cake,8.73
237,Ariana,2020/06/10,Jam,12.89
238,Ariana,2020/06/10,Cake,8.73
239,Ariana,2020/06/10,Tea,3.29
240,Ariana,2020/06/10,Tea,3.29
241,Ariana,2020/06/10,Jam,12.89
242,Ariana,2020/06/10,Pastry,7.49
243,Ariana,2020/06/10,Coffee,4.37
244,Ariana,2020/06/10,Pastry,7.49
245,Ariana,2020/06/10,Coffee,4.37
246,Ariana,2020/06/10,Pastry,7.49
247,Ariana,2020/06/10,Coffee,4.37
248,Ariana,2020/06/10,Pastry,7.49
249,Ariana,2020/06/10,Tea,3.29
250,Ariana,2020/06/10,Pastry,7.49
251,Ariana,2020/06/10,Coffee,4.37
252,Cersai,2020/06/11,Pastry,7.49
253,Cersai,2020/06/11,Bread,5.92
254,Cersai,2020/06/11,Cake,8.73
255,Cersai,2020/06/11,Bread,5.92
256,Cersai,2020/06/11,Tea,3.29
257,Cersai,2020/06/11,Coffee,4.37
258,Cersai,2020/06/11,Bread,5.92
259,Cersai,2020/06/11,Cake,8.73
260,Cersai,2020/06/11,Tea,3.29
261,Cersai,2020/06/11,Coffee,4.37
262,Cersai,2020/06/11,Tea,3.29
263,Cersai,2020/06/11,Jam,12.89
264,Cersai,2020/06/11,Pastry,7.49
265,Cersai,2020/06/11,Tea,3.29
266,Cersai,2020/06/11,Jam,12.89
267,Cersai,2020/06/11,Bread,5.92
268,Cersai,2020/06/11,Jam,12.89
269,Cersai,2020/06/11,Cake,8.73
270,Cersai,2020/06/11,Coffee,4.37
271,Cersai,2020/06/11,Jam,12.89
272,Cersai,2020/06/11,Bread,5.92
273,Cersai,2020/06/11,Coffee,4.37
274,Cersai,2020/06/11,Pastry,7.49
275,Cersai,2020/06/11,Cake,8.73
276,Cersai,2020/06/11,Tea,3.29
277,Cersai,2020/06/11,Tea,3.29
278,Anakin,2020/06/12,Coffee,4.37
279,Karen,2020/06/13,Coffee,4.37
280,Karen,2020/06/13,Tea,3.29
281,Karen,2020/06/13,Tea,3.29
282,Karen,2020/06/13,Jam,12.89
283,Karen,2020/06/13,Bread,5.92
284,Karen,2020/06/13,Cake,8.73
285,Karen,2020/06/13,Coffee,4.37
286,Khan,2020/06/14,Tea,3.29
287,Khan,2020/06/14,Cake,8.73
288,Khan,2020/06/14,Jam,12.89
289,Khan,2020/06/14,Cake,8.73
290,Khan,2020/06/14,Pastry,7.49
291,Khan,2020/06/14,Bread,5.92
292,Khan,2020/06/14,Pastry,7.49
293,Khan,2020/06/14,Coffee,4.37
294,Khan,2020/06/14,Coffee,4.37
295,Khan,2020/06/14,Pastry,7.49
296,Khan,2020/06/14,Bread,5.92
297,Khan,2020/06/14,Coffee,4.37
298,Khan,2020/06/14,Bread,5.92
299,Khan,2020/06/14,Tea,3.29
300,Khan,2020/06/14,Bread,5.92
301,Khan,2020/06/14,Coffee,4.37
302,Khan,2020/06/14,Pastry,7.49
303,Khan,2020/06/14,Jam,12.89
304,Khan,2020/06/14,Jam,12.89
305,Khan,2020/06/14,Jam,12.89
306,Khan,2020/06/14,Jam,12.89
307,Khan,2020/06/14,Coffee,4.37
308,The Hood,2020/06/15,Cake,8.73
309,The Hood,2020/06/15,Jam,12.89
310,The Hood,2020/06/15,Pastry,7.49
311,The Hood,2020/06/15,Cake,8.73
312,The Hood,2020/06/15,Cake,8.73
313,The Hood,2020/06/15,Coffee,4.37
314,The Hood,2020/06/15,Cake,8.73
315,The Hood,2020/06/15,Bread,5.92
316,The Hood,2020/06/15,Jam,12.89
317,The Hood,2020/06/15,Bread,5.92
318,The Hood,2020/06/15,Jam,12.89
319,The Hood,2020/06/15,Jam,12.89
320,The Hood,2020/06/15,Tea,3.29
321,The Hood,2020/06/15,Jam,12.89
322,The Hood,2020/06/15,Pastry,7.49
323,The Hood,2020/06/15,Cake,8.73
324,The Hood,2020/06/15,Pastry,7.49
325,The Hood,2020/06/15,Pastry,7.49
326,The Hood,2020/06/15,Jam,12.89
327,The Hood,2020/06/15,Coffee,4.37
328,The Hood,2020/06/15,Pastry,7.49
329,The Hood,2020/06/15,Jam,12.89
330,The Hood,2020/06/15,Pastry,7.49
331,The Hood,2020/06/15,Coffee,4.37
332,The Hood,2020/06/15,Pastry,7.49
333,The Hood,2020/06/15,Pastry,7.49
334,The Hood,2020/06/15,Tea,3.29
335,The Hood,2020/06/15,Bread,5.92
336,The Hood,2020/06/15,Jam,12.89
337,The Hood,2020/06/15,Jam,12.89
338,The Hood,2020/06/15,Bread,5.92
339,The Hood,2020/06/15,Cake,8.73
340,The Hood,2020/06/15,Cake,8.73
341,The Hood,2020/06/15,Coffee,4.37
342,The Hood,2020/06/15,Bread,5.92
343,The Hood,2020/06/15,Cake,8.73
344,The Hood,2020/06/15,Bread,5.92
345,The Hood,2020/06/15,Pastry,7.49
346,The Hood,2020/06/15,Tea,3.29
347,The Hood,2020/06/15,Jam,12.89
348,The Hood,2020/06/15,Jam,12.89
349,The Hood,2020/06/15,Bread,5.92
350,The Hood,2020/06/15,Bread,5.92
351,The Hood,2020/06/15,Pastry,7.49
352,The Hood,2020/06/15,Coffee,4.37
353,The Hood,2020/06/15,Tea,3.29
354,The Hood,2020/06/15,Jam,12.89
355,The Hood,2020/06/15,Tea,3.29
356,The Hood,2020/06/15,Pastry,7.49
357,The Hood,2020/06/15,Bread,5.92
358,Dr Claw,2020/06/16,Jam,12.89
359,Dr Claw,2020/06/16,Jam,12.89
360,Dr Claw,2020/06/16,Jam,12.89
361,Dr Claw,2020/06/16,Pastry,7.49
362,Dr Claw,2020/06/16,Tea,3.29
363,Dr Claw,2020/06/16,Pastry,7.49
364,Dr Claw,2020/06/16,Cake,8.73
365,Dr Claw,2020/06/16,Cake,8.73
366,Dr Claw,2020/06/16,Pastry,7.49
367,Dr Claw,2020/06/16,Tea,3.29
368,Dr Claw,2020/06/16,Tea,3.29
369,Dr Claw,2020/06/16,Coffee,4.37
370,Dr Claw,2020/06/16,Cake,8.73
371,Dr Claw,2020/06/16,Bread,5.92
372,Dr Claw,2020/06/16,Pastry,7.49
373,Dr Claw,2020/06/16,Tea,3.29
374,Dr Claw,2020/06/16,Bread,5.92
375,Dr Claw,2020/06/16,Pastry,7.49
376,Dr Claw,2020/06/16,Tea,3.29
377,Dr Claw,2020/06/16,Tea,3.29
378,Dr Claw,2020/06/16,Jam,12.89
379,Dr Claw,2020/06/16,Cake,8.73
380,Dr Claw,2020/06/16,Cake,8.73
381,Dr Claw,2020/06/16,Jam,12.89
382,Dr Claw,2020/06/16,Bread,5.92
383,Dr Claw,2020/06/16,Pastry,7.49
384,Dr Claw,2020/06/16,Cake,8.73
385,Dr Claw,2020/06/16,Coffee,4.37
386,Dr Claw,2020/06/16,Pastry,7.49
387,Dr Claw,2020/06/16,Coffee,4.37
388,Dr Claw,2020/06/16,Cake,8.73
389,Dr Claw,2020/06/16,Cake,8.73
390,Dr Claw,2020/06/16,Coffee,4.37
391,Dr Claw,2020/06/16,Bread,5.92
392,Dr Claw,2020/06/16,Cake,8.73
393,Dr Claw,2020/06/16,Bread,5.92
394,Dr Claw,2020/06/16,Jam,12.89
395,Dr Claw,2020/06/16,Coffee,4.37
396,Dr Claw,2020/06/16,Bread,5.92
397,Dr Claw,2020/06/16,Bread,5.92
398,Dr Claw,2020/06/16,Bread,5.92
399,Dr Claw,2020/06/16,Coffee,4.37
400,Dr Claw,2020/06/16,Jam,12.89
401,Dr Claw,2020/06/16,Jam,12.89
402,Dr Claw,2020/06/16,Jam,12.89
403,Dr Claw,2020/06/16,Tea,3.29
404,Dr Claw,2020/06/16,Tea,3.29
405,Dr Claw,2020/06/16,Cake,8.73
406,Dr Claw,2020/06/16,Bread,5.92
407,Dr Claw,2020/06/16,Pastry,7.49
408,Dr Claw,2020/06/16,Tea,3.29
409,Dr Claw,2020/06/16,Pastry,7.49
410,Dr Claw,2020/06/16,Coffee,4.37
411,Dr Claw,2020/06/16,Cake,8.73
412,Dr Claw,2020/06/16,Cake,8.73
413,Dr Claw,2020/06/16,Bread,5.92
414,Dr Claw,2020/06/16,Pastry,7.49
415,Dr Claw,2020/06/16,Cake,8.73
416,Dr Claw,2020/06/16,Cake,8.73
417,Dr Claw,2020/06/16,Jam,12.89
418,Dr Claw,2020/06/16,Bread,5.92
419,Dr Claw,2020/06/16,Pastry,7.49
420,Dr Claw,2020/06/16,Bread,5.92
421,Dr Claw,2020/06/16,Bread,5.92
422,Dr Claw,2020/06/16,Coffee,4.37
423,Dr Claw,2020/06/16,Coffee,4.37
424,Dr Claw,2020/06/16,Tea,3.29
425,Dr Claw,2020/06/16,Tea,3.29
426,Dr Claw,2020/06/16,Tea,3.29
427,Dr Claw,2020/06/16,Coffee,4.37
428,Dr Claw,2020/06/16,Jam,12.89
429,Dr Claw,2020/06/16,Coffee,4.37
430,Dr Claw,2020/06/16,Coffee,4.37
431,Dr Claw,2020/06/16,Bread,5.92
432,Dr Claw,2020/06/16,Pastry,7.49
433,Dr Claw,2020/06/16,Jam,12.89
434,Dr Claw,2020/06/16,Cake,8.73
435,Dr Claw,2020/06/16,Jam,12.89
436,Dr Claw,2020/06/16,Cake,8.73
437,Dr Claw,2020/06/16,Pastry,7.49
438,Dr Claw,2020/06/16,Pastry,7.49
439,Dr Claw,2020/06/16,Cake,8.73
440,Dr Claw,2020/06/16,Tea,3.29
441,Dr Claw,2020/06/16,Tea,3.29
442,Dr Claw,2020/06/16,Bread,5.92
443,Dr Claw,2020/06/16,Pastry,7.49
444,Dr Claw,2020/06/16,Pastry,7.49
445,Ariana,2020/06/17,Jam,12.89
446,Ariana,2020/06/17,Coffee,4.37
447,Ariana,2020/06/17,Pastry,7.49
448,Ariana,2020/06/17,Cake,8.73
449,Ariana,2020/06/17,Cake,8.73
450,Ariana,2020/06/17,Tea,3.29
451,Ariana,2020/06/17,Tea,3.29
452,Ariana,2020/06/17,Pastry,7.49
453,Ariana,2020/06/17,Bread,5.92
454,Ariana,2020/06/17,Cake,8.73
455,Ariana,2020/06/17,Pastry,7.49
456,Ariana,2020/06/17,Bread,5.92
457,Ariana,2020/06/17,Bread,5.92
458,Ariana,2020/06/17,Cake,8.73
459,Ariana,2020/06/17,Tea,3.29
460,Ariana,2020/06/17,Cake,8.73
461,Ariana,2020/06/17,Jam,12.89
462,Ariana,2020/06/17,Coffee,4.37
463,Ariana,2020/06/17,Pastry,7.49
464,Cersai,2020/06/18,Cake,8.73
465,Cersai,2020/06/18,Cake,8.73
466,Cersai,2020/06/18,Bread,5.92
467,Cersai,2020/06/18,Pastry,7.49
468,Cersai,2020/06/18,Jam,12.89
469,Cersai,2020/06/18,Jam,12.89
470,Cersai,2020/06/18,Bread,5.92
471,Cersai,2020/06/18,Tea,3.29
472,Cersai,2020/06/18,Tea,3.29
473,Cersai,2020/06/18,Jam,12.89
474,Cersai,2020/06/18,Bread,5.92
475,Cersai,2020/06/18,Bread,5.92
476,Cersai,2020/06/18,Jam,12.89
477,Cersai,2020/06/18,Bread,5.92
478,Cersai,2020/06/18,Jam,12.89
479,Cersai,2020/06/18,Jam,12.89
480,Cersai,2020/06/18,Bread,5.92
481,Cersai,2020/06/18,Bread,5.92
482,Cersai,2020/06/18,Bread,5.92
483,Cersai,2020/06/18,Cake,8.73
484,Cersai,2020/06/18,Tea,3.29
485,Cersai,2020/06/18,Pastry,7.49
486,Cersai,2020/06/18,Tea,3.29
487,Cersai,2020/06/18,Pastry,7.49
488,Cersai,2020/06/18,Jam,12.89
489,Cersai,2020/06/18,Pastry,7.49
490,Cersai,2020/06/18,Bread,5.92
491,Cersai,2020/06/18,Pastry,7.49
492,Cersai,2020/06/18,Cake,8.73
493,Cersai,2020/06/18,Pastry,7.49
494,Cersai,2020/06/18,Tea,3.29
495,Cersai,2020/06/18,Pastry,7.49
496,Cersai,2020/06/18,Coffee,4.37
497,Cersai,2020/06/18,Coffee,4.37
498,Cersai,2020/06/18,Coffee,4.37
499,Cersai,2020/06/18,Jam,12.89
500,Anakin,2020/06/19,Bread,5.92
501,Anakin,2020/06/19,Tea,3.29
502,Anakin,2020/06/19,Coffee,4.37
503,Anakin,2020/06/19,Pastry,7.49
504,Anakin,2020/06/19,Coffee,4.37
505,Anakin,2020/06/19,Bread,5.92
506,Anakin,2020/06/19,Cake,8.73
507,Anakin,2020/06/19,Bread,5.92
508,Anakin,2020/06/19,Pastry,7.49
509,Anakin,2020/06/19,Cake,8.73
510,Anakin,2020/06/19,Bread,5.92
511,Anakin,2020/06/19,Tea,3.29
512,Anakin,2020/06/19,Tea,3.29
513,Anakin,2020/06/19,Cake,8.73
514,Anakin,2020/06/19,Bread,5.92
515,Anakin,2020/06/19,Tea,3.29
516,Anakin,2020/06/19,Tea,3.29
517,Anakin,2020/06/19,Bread,5.92
518,Anakin,2020/06/19,Tea,3.29
519,Anakin,2020/06/19,Cake,8.73
520,Anakin,2020/06/19,Cake,8.73
521,Anakin,2020/06/19,Cake,8.73
522,Anakin,2020/06/19,Tea,3.29
523,Anakin,2020/06/19,Pastry,7.49
524,Anakin,2020/06/19,Tea,3.29
525,Anakin,2020/06/19,Tea,3.29
526,Anakin,2020/06/19,Pastry,7.49
527,Anakin,2020/06/19,Coffee,4.37
528,Anakin,2020/06/19,Jam,12.89
529,Anakin,2020/06/19,Coffee,4.37
530,Anakin,2020/06/19,Pastry,7.49
531,Anakin,2020/06/19,Pastry,7.49
532,Anakin,2020/06/19,Pastry,7.49
533,Anakin,2020/06/19,Jam,12.89
534,Anakin,2020/06/19,Jam,12.89
535,Anakin,2020/06/19,Bread,5.92
536,Anakin,2020/06/19,Cake,8.73
537,Anakin,2020/06/19,Coffee,4.37
538,Anakin,2020/06/19,Cake,8.73
539,Anakin,2020/06/19,Cake,8.73
540,Anakin,2020/06/19,Jam,12.89
541,Anakin,2020/06/19,Tea,3.29
542,Anakin,2020/06/19,Tea,3.29
543,Anakin,2020/06/19,Cake,8.73
544,Karen,2020/06/20,Bread,5.92
545,Karen,2020/06/20,Tea,3.29
546,Karen,2020/06/20,Coffee,4.37
547,Karen,2020/06/20,Cake,8.73
548,Karen,2020/06/20,Cake,8.73
549,Karen,2020/06/20,Jam,12.89
550,Karen,2020/06/20,Tea,3.29
551,Karen,2020/06/20,Pastry,7.49
552,Karen,2020/06/20,Bread,5.92
553,Karen,2020/06/20,Cake,8.73
554,Karen,2020/06/20,Pastry,7.49
555,Karen,2020/06/20,Jam,12.89
556,Karen,2020/06/20,Jam,12.89
557,Karen,2020/06/20,Cake,8.73
558,Karen,2020/06/20,Pastry,7.49
559,Karen,2020/06/20,Cake,8.73
560,Karen,2020/06/20,Jam,12.89
561,Karen,2020/06/20,Pastry,7.49
562,Karen,2020/06/20,Pastry,7.49
563,Karen,2020/06/20,Jam,12.89
564,Karen,2020/06/20,Pastry,7.49
565,Karen,2020/06/20,Tea,3.29
566,Karen,2020/06/20,Coffee,4.37
567,Karen,2020/06/20,Cake,8.73
568,Karen,2020/06/20,Bread,5.92
569,Karen,2020/06/20,Tea,3.29
570,Karen,2020/06/20,Coffee,4.37
571,Karen,2020/06/20,Tea,3.29
572,Karen,2020/06/20,Jam,12.89
573,Karen,2020/06/20,Cake,8.73
574,Karen,2020/06/20,Bread,5.92
575,Karen,2020/06/20,Tea,3.29
576,Karen,2020/06/20,Pastry,7.49
577,Karen,2020/06/20,Bread,5.92
578,Karen,2020/06/20,Jam,12.89
579,Karen,2020/06/20,Tea,3.29
580,Karen,2020/06/20,Cake,8.73
581,Karen,2020/06/20,Bread,5.92
582,Karen,2020/06/20,Bread,5.92
583,Karen,2020/06/20,Tea,3.29
584,Karen,2020/06/20,Tea,3.29
585,Karen,2020/06/20,Tea,3.29
586,Karen,2020/06/20,Bread,5.92
587,Karen,2020/06/20,Jam,12.89
588,Karen,2020/06/20,Pastry,7.49
589,Karen,2020/06/20,Jam,12.89
590,Karen,2020/06/20,Coffee,4.37
591,Karen,2020/06/20,Jam,12.89
592,Karen,2020/06/20,Pastry,7.49
593,Karen,2020/06/20,Tea,3.29
594,Karen,2020/06/20,Cake,8.73
595,Karen,2020/06/20,Jam,12.89
596,Karen,2020/06/20,Tea,3.29
597,Karen,2020/06/20,Cake,8.73
598,Karen,2020/06/20,Bread,5.92
599,Karen,2020/06/20,Coffee,4.37
600,Karen,2020/06/20,Jam,12.89
601,Karen,2020/06/20,Cake,8.73
602,Karen,2020/06/20,Cake,8.73
603,Khan,2020/06/21,Pastry,7.49
604,Khan,2020/06/21,Bread,5.92
605,Khan,2020/06/21,Pastry,7.49
606,Khan,2020/06/21,Cake,8.73
607,Khan,2020/06/21,Tea,3.29
608,Khan,2020/06/21,Pastry,7.49
609,Khan,2020/06/21,Bread,5.92
610,Khan,2020/06/21,Cake,8.73
611,Khan,2020/06/21,Cake,8.73
612,Khan,2020/06/21,Cake,8.73
613,Khan,2020/06/21,Pastry,7.49
614,Khan,2020/06/21,Tea,3.29
615,Khan,2020/06/21,Cake,8.73
616,Khan,2020/06/21,Coffee,4.37
